No,Method,Grade,Bar size (mm),C length (mm),Outter diameter (mm),Temprature,Yield stress (MPa),Ultimate strength (Mpa),Ultimatestrain (%)
1,0,60,32.26,0.0,0.0,25,481.2540595,814.2708371,10.5
2,0,60,32.26,0.0,0.0,25,495.7330499,804.6181769,9.3
3,0,60,32.26,0.0,0.0,25,486.7698654,806.6866041,10.4
4,0,60,32.26,0.0,0.0,25,500.55938,825.9919245,11.8
5,0,60,32.26,0.0,0.0,25,515.45,823.0,10.0
6,0,60,32.26,0.0,0.0,25,530.8963121,821.8550702,9.2
10,0,75,32.26,0.0,0.0,25,531.5857878,772.9022933,11.2
11,0,75,32.26,0.0,0.0,25,530.2068364,766.007536,10.4
12,0,75,32.26,0.0,0.0,25,512.2804674,744.6337884,11.0
13,0,75,32.26,0.0,0.0,25,560.5437685,790.8286623,10.8
14,0,75,32.26,0.0,0.0,25,562.6121957,794.276041,12.9
15,0,75,32.26,0.0,0.0,25,563.3016714,797.0339439,10.9
20,1,60,32.26,98.43,49.28,25,490.0,822.0,8.0
21,1,60,32.26,98.43,49.28,25,488.8382926,822.399756,11.2
22,1,60,32.26,98.43,49.28,25,490.217244,821.4758585,10.2
23,1,60,32.26,98.43,49.28,25,494.3540984,833.5761576,7.6
24,1,60,32.26,98.43,49.28,25,507.4541373,822.5445459,6.9
25,1,60,32.26,98.43,49.28,25,515.727846,786.0023322,4.4
28,1,60,32.26,98.43,49.28,25,608.8070696,848.7446236,5.4
29,2,60,32.26,455.61,49.28,25,489.5277683,798.4128953,6.6
30,2,60,32.26,455.61,49.28,25,485.3909139,786.0023322,5.7
31,2,60,32.26,455.61,49.28,25,477.1172052,785.3128565,6.0
32,2,60,32.26,455.61,49.28,25,509.5225645,843.2288178,8.9
33,2,60,32.26,455.61,49.28,25,515.0383703,841.8498663,8.6
34,2,60,32.26,455.61,49.28,25,510.2120402,838.4024877,8.2
36,2,60,32.26,455.61,49.28,25,569.506953,859.7762353,5.8
37,2,60,32.26,455.61,49.28,25,567.4385258,821.8550702,4.9
39,3,60,32.26,490.54,49.28,25,480.5645838,660.5177493,2.7
42,3,60,32.26,490.54,49.28,25,505.3857101,805.3076526,6.3
46,3,60,32.26,490.54,49.28,25,539.1700209,720.5021379,2.7
47,4,60,32.26,149.23,49.28,25,481.2540595,813.5813614,12.2
48,4,60,32.26,149.23,49.28,25,460.5697876,790.8286623,12.2
49,4,60,32.26,149.23,49.28,25,487.4593411,817.7182158,9.8
51,4,60,32.26,149.23,49.28,25,505.3857101,832.1972061,10.1
52,4,60,32.26,149.23,49.28,25,504.0067586,759.8022545,3.8
56,5,75,32.26,203.2,49.28,25,557.0,782.0,9.3
57,5,75,32.26,203.2,49.28,25,553.6490112,768.765439,6.9
58,5,75,32.26,203.2,49.28,25,557.7858656,770.1443904,6.5
59,5,75,32.26,203.2,49.28,25,557.7858656,783.933905,11.0
60,5,75,32.26,203.2,49.28,25,556.4069141,781.1760021,10.9
61,5,75,32.26,203.2,49.28,25,559.8542928,785.3128565,9.3
65,5,500,20.0,0.0,0.0,20,535.0,642.0,11.2
66,5,500,16.0,0.0,0.0,20,552.0,648.0,12.37
67,5,500,20.0,214.0,31.0,20,539.0,637.0,8.76
68,5,500,16.0,206.0,25.0,20,522.0,612.0,8.25
69,5,500,20.0,54.0,31.0,20,540.0,642.0,9.37
70,5,500,16.0,45.0,25.0,20,535.0,639.0,10.52
71,0,500,20.0,0.0,0.0,100,538.0,634.0,6.4
72,0,500,20.0,0.0,0.0,300,523.0,632.0,5.09
73,0,500,20.0,0.0,0.0,400,530.0,604.0,4.94
76,0,500,16.0,0.0,0.0,100,544.0,632.0,6.22
77,0,500,16.0,0.0,0.0,400,447.0,570.0,6.36
79,5,500,20.0,54.0,31.0,100,522.0,623.0,6.33
80,5,500,20.0,54.0,31.0,300,522.0,622.0,4.24
81,5,500,20.0,54.0,31.0,400,548.0,625.0,3.76
84,5,500,16.0,45.0,25.0,100,521.0,616.0,4.85
85,5,500,16.0,45.0,25.0,400,520.0,582.0,4.0
87,5,500,20.0,214.0,31.0,100,527.0,635.0,6.87
88,5,500,20.0,214.0,31.0,300,496.0,622.0,4.73
89,5,500,20.0,214.0,31.0,400,497.0,618.0,3.17
