Method,Grade,Bar size (mm),Sleeve length (mm),Outer diameter (mm),Temperature (c),Ultimate strength (MPa),Ultimate strain (%)
0,60,32.26,0.0,0.0,25,814.2708371,10.5
0,60,32.26,0.0,0.0,25,804.6181769,9.3
0,60,32.26,0.0,0.0,25,806.6866041,10.4
0,60,32.26,0.0,0.0,25,825.9919245,11.8
0,60,32.26,0.0,0.0,25,823.0,10.0
0,60,32.26,0.0,0.0,25,821.8550702,9.2
0,60,32.26,0.0,0.0,25,887.3552645,12.0
0,75,32.26,0.0,0.0,25,772.9022933,11.2
0,75,32.26,0.0,0.0,25,766.007536,10.4
0,75,32.26,0.0,0.0,25,744.6337884,11.0
0,75,32.26,0.0,0.0,25,790.8286623,10.8
0,75,32.26,0.0,0.0,25,794.276041,12.9
0,75,32.26,0.0,0.0,25,797.0339439,10.9
0,75,32.26,0.0,0.0,25,839.0919634,12.8
1,60,32.26,98.43,49.28,25,822.0,8.0
1,60,32.26,98.43,49.28,25,822.399756,11.2
1,60,32.26,98.43,49.28,25,821.4758585,10.2
1,60,32.26,98.43,49.28,25,833.5761576,7.6
1,60,32.26,98.43,49.28,25,822.5445459,6.9
1,60,32.26,98.43,49.28,25,786.0023322,4.4
1,60,32.26,98.43,49.28,25,672.2388368,2.1
1,60,32.26,98.43,49.28,25,895.6289733,13.3
1,60,32.26,98.43,49.28,25,848.7446236,5.4
2,60,32.26,455.61,49.28,25,798.4128953,6.6
2,60,32.26,455.61,49.28,25,786.0023322,5.7
2,60,32.26,455.61,49.28,25,785.3128565,6.0
2,60,32.26,455.61,49.28,25,843.2288178,8.9
2,60,32.26,455.61,49.28,25,841.8498663,8.6
2,60,32.26,455.61,49.28,25,838.4024877,8.2
2,60,32.26,455.61,49.28,25,859.7762353,5.8
2,60,32.26,455.61,49.28,25,821.8550702,4.9
3,60,32.26,490.54,49.28,25,555.7174384,1.7
3,60,32.26,490.54,49.28,25,660.5177493,2.7
3,60,32.26,490.54,49.28,25,561.92272,1.8
3,60,32.26,490.54,49.28,25,669.4809338,2.6
3,60,32.26,490.54,49.28,25,805.3076526,6.3
3,60,32.26,490.54,49.28,25,594.3280793,1.6
3,60,32.26,490.54,49.28,25,645.3492833,2.6
3,60,32.26,490.54,49.28,25,677.7546426,2.6
3,60,32.26,490.54,49.28,25,720.5021379,2.7
4,60,32.26,149.23,49.28,25,813.5813614,12.2
