No,Method,Grade,Bar size (mm),C length (mm),Outter diameter (mm),Temprature,Yield stress (MPa),Ultimate strength (Mpa),Ultimatestrain (%)
1,0,60,32.26,0,0,25,481.2540595,814.2708371,10.5
2,0,60,32.26,0,0,25,495.7330499,804.6181769,9.3
3,0,60,32.26,0,0,25,486.7698654,806.6866041,10.4
4,0,60,32.26,0,0,25,500.55938,825.9919245,11.8
5,0,60,32.26,0,0,25,515.45,823,10
6,0,60,32.26,0,0,25,530.8963121,821.8550702,9.2
7,0,60,32.26,0,0,25,623.2860599,892.8710704,14.9
8,0,60,32.26,0,0,25,613.6333997,901.1447791,14.4
9,0,60,32.26,0,0,25,620.528157,887.3552645,12
10,0,75,32.26,0,0,25,531.5857878,772.9022933,11.2
11,0,75,32.26,0,0,25,530.2068364,766.007536,10.4
12,0,75,32.26,0,0,25,512.2804674,744.6337884,11
13,0,75,32.26,0,0,25,560.5437685,790.8286623,10.8
14,0,75,32.26,0,0,25,562.6121957,794.276041,12.9
15,0,75,32.26,0,0,25,563.3016714,797.0339439,10.9
16,0,75,32.26,0,0,25,693.6125844,850.8130508,12.5
17,0,75,32.26,0,0,25,652.9335163,839.0919634,12.8
18,0,75,32.26,0,0,25,700.5073417,850.1235751,11.2
20,1,60,32.26,98.43,49.28,25,490,822,8
21,1,60,32.26,98.43,49.28,25,488.8382926,822.399756,11.2
22,1,60,32.26,98.43,49.28,25,490.217244,821.4758585,10.2
23,1,60,32.26,98.43,49.28,25,494.3540984,833.5761576,7.6
24,1,60,32.26,98.43,49.28,25,507.4541373,822.5445459,6.9
25,1,60,32.26,98.43,49.28,25,515.727846,786.0023322,4.4
26,1,60,32.26,98.43,49.28,25,588.1227977,672.2388368,2.1
27,1,60,32.26,98.43,49.28,25,617.0807784,895.6289733,13.3
28,1,60,32.26,98.43,49.28,25,608.8070696,848.7446236,5.4
29,2,60,32.26,455.61,49.28,25,489.5277683,798.4128953,6.6
30,2,60,32.26,455.61,49.28,25,485.3909139,786.0023322,5.7
31,2,60,32.26,455.61,49.28,25,477.1172052,785.3128565,6
32,2,60,32.26,455.61,49.28,25,509.5225645,843.2288178,8.9
