No,Method,Grade,Bar size (mm),C length (mm),Outter diameter (mm),Temprature,Yield stress (MPa),Ultimate strength (Mpa)
1,0,60,32,0,0,25,481.25,814.27
2,0,60,32,0,0,25,495.73,804.62
3,0,60,32,0,0,25,486.77,806.69
4,0,60,32,0,0,25,500.56,825.99
5,0,60,32,0,0,25,525,823
6,0,60,32,0,0,25,530.9,821.86
7,0,60,32,0,0,25,623.29,892.87
8,0,60,32,0,0,25,613.63,901.14
9,0,60,32,0,0,25,620.53,887.36
10,0,75,32,0,0,25,531.59,772.9
11,0,75,32,0,0,25,530.21,766.01
12,0,75,32,0,0,25,512.28,744.63
13,0,75,32,0,0,25,560.54,790.83
14,0,75,32,0,0,25,562.61,794.28
15,0,75,32,0,0,25,563.3,797.03
16,0,75,32,0,0,25,700.51,850.12
17,1,60,32,98.43,49.28,25,489,822
18,1,60,32,98.43,49.28,25,488.84,822.4
19,1,60,32,98.43,49.28,25,490.22,821.48
20,1,60,32,98.43,49.28,25,494.35,833.58
21,1,60,32,98.43,49.28,25,507.45,822.54
22,1,60,32,98.43,49.28,25,515.73,786
23,1,60,32,98.43,49.28,25,588.12,672.24
24,1,60,32,98.43,49.28,25,617.08,895.63
25,1,60,32,98.43,49.28,25,608.81,848.74
26,2,60,32,455.61,49.28,25,489.53,798.41
27,2,60,32,455.61,49.28,25,485.39,786
28,2,60,32,455.61,49.28,25,477.12,785.31
29,2,60,32,455.61,49.28,25,509.52,843.23
30,2,60,32,455.61,49.28,25,515.04,841.85
31,2,60,32,455.61,49.28,25,510.21,838.4
32,2,60,32,455.61,49.28,25,590.88,898.39
33,2,60,32,455.61,49.28,25,569.51,859.78
34,2,60,32,455.61,49.28,25,567.44,821.86
35,3,60,32,490.54,49.28,25,474.36,555.72
36,3,60,32,490.54,49.28,25,480.56,660.52
37,3,60,32,490.54,49.28,25,477.81,561.92
38,3,60,32,490.54,49.28,25,502.63,669.48
39,3,60,32,490.54,49.28,25,505.39,805.31
40,3,60,32,490.54,49.28,25,499.87,594.33
41,3,60,32,490.54,49.28,25,555.03,645.35
42,3,60,32,490.54,49.28,25,559.16,677.75
43,3,60,32,490.54,49.28,25,539.17,720.5
44,4,60,32,149.23,49.28,25,481.25,813.58
45,4,60,32,149.23,49.28,25,460.57,790.83
46,4,60,32,149.23,49.28,25,487.46,817.72
47,4,60,32,149.23,49.28,25,503.32,668.1
48,4,60,32,149.23,49.28,25,505.39,832.2
49,4,60,32,149.23,49.28,25,504.01,759.8
50,4,60,32,149.23,49.28,25,595.71,605.36
51,4,60,32,149.23,49.28,25,599.15,730.84
52,4,60,32,149.23,49.28,25,595.02,706.02
53,5,75,32,203.2,49.28,25,557.5,782
54,5,75,32,203.2,49.28,25,553.65,768.77
55,5,75,32,203.2,49.28,25,557.79,770.14
56,5,75,32,203.2,49.28,25,557.79,783.93
57,5,75,32,203.2,49.28,25,556.41,781.18
58,5,75,32,203.2,49.28,25,559.85,785.31
59,5,75,32,203.2,49.28,25,638.45,833.58
60,5,75,32,203.2,49.28,25,687.41,844.61
61,5,75,32,203.2,49.28,25,673.62,841.16
62,5,500,20,0,0,20,535,642
63,5,500,16,0,0,20,552,648
64,5,500,20,214,31,20,539,637
65,5,500,16,206,25,20,522,612
66,5,500,20,54,31,20,540,642
67,5,500,16,45,25,20,535,639
68,0,500,20,0,0,100,538,634
69,0,500,20,0,0,300,523,632
70,0,500,20,0,0,400,530,604
71,0,500,20,0,0,500,430,480
72,0,500,16,0,0,100,544,632
73,0,500,16,0,0,400,447,570
74,5,500,20,54,31,100,522,623
75,5,500,20,54,31,300,522,622
76,5,500,20,54,31,400,548,625
77,5,500,20,54,31,500,459,491
78,5,500,16,45,25,100,521,616
79,5,500,16,45,25,400,520,582
80,5,500,20,214,31,100,527,635
81,5,500,20,214,31,300,496,622
82,5,500,20,214,31,400,497,618
83,5,500,20,214,31,500,470,523
84,5,500,16,206,25,100,523,628
85,5,500,16,206,25,400,495,575
86,5,400,16,40,23,25,510.16,643.25
87,5,400,16,95,44,25,501.02,605.6
88,0,400,16,0,0,25,400.36,602.52
